,1,2,3,4,5,6,7,8,9,10
Soil and Construction,"['48Ti', '54Fe', '138Ba', '90Zr', '140Ce']","['140Ce', '139La', '54Fe', '55Mn', '48Ti']","['55Mn', '54Fe', '48Ti', '140Ce', '138Ba']","['90Zr', '89Y', '54Fe', '140Ce', '138Ba']","['54Fe', '48Ti', '140Ce', '90Zr', '89Y']","['138Ba', '54Fe', '55Mn', '88Sr', '48Ti']","['48Ti', '54Fe', '138Ba', '55Mn', '202Hg']","['48Ti', '93Nb', '55Mn', '54Fe', '51V']","['48Ti', '54Fe', '139La', '138Ba', '55Mn']","['90Zr', '138Ba', '55Mn', '88Sr', '48Ti']"
Coal burning,"['48Ti', '208Pb', '55Mn', '64Zn', '138Ba']","['208Pb', '120Sn', '55Mn', '54Fe', '140Ce']","['55Mn', '54Fe', '208Pb', '64Zn', '48Ti']","['208Pb', '54Fe', '120Sn', '55Mn', '48Ti']","['54Fe', '208Pb', '63Cu', '55Mn', '120Sn']","['121Sb', '138Ba', '54Fe', '88Sr', '55Mn']","['64Zn', '208Pb', '120Sn', '55Mn', '54Fe']","['63Cu', '48Ti', '55Mn', '208Pb', '54Fe']","['54Fe', '64Zn', '208Pb', '55Mn', '63Cu']","['138Ba', '88Sr', '85Rb', '55Mn', '54Fe']"
Industrial emission,"['48Ti', '55Mn', '208Pb', '54Fe', '138Ba']","['55Mn', '54Fe', '107Ag', '208Pb', '140Ce']","['55Mn', '54Fe', '208Pb', '48Ti', '138Ba']","['54Fe', '63Cu', '208Pb', '55Mn', '48Ti']","['54Fe', '48Ti', '208Pb', '140Ce', '63Cu']","['54Fe', '55Mn', '138Ba', '88Sr', '72Ge']","['63Cu', '208Pb', '54Fe', '48Ti', '169Tm']","['63Cu', '54Fe', '55Mn', '48Ti', '107Ag']","['54Fe', '208Pb', '55Mn', '48Ti', '138Ba']","['138Ba', '55Mn', '90Zr', '48Ti', '88Sr']"
Car exhaust,"['48Ti', '138Ba', '54Fe', '75As', '64Zn']","['208Pb', '120Sn', '54Fe', '55Mn', '107Ag']","['55Mn', '59Co', '54Fe', '48Ti', '60Ni']","['69Ga', '53Cr', '208Pb', '54Fe', '120Sn']","['54Fe', '208Pb', '55Mn', '138Ba', '48Ti']","['138Ba', '54Fe', '55Mn', '72Ge', '88Sr']","['64Zn', '78Se', '165Ho', '63Cu', '208Pb']","['63Cu', '54Fe', '48Ti', '208Pb', '55Mn']","['54Fe', '55Mn', '63Cu', '64Zn', '48Ti']","['138Ba', '55Mn', '54Fe', '85Rb', '48Ti']"
Biomass,"['48Ti', '138Ba', '54Fe', '192Os', '63Cu']","['54Fe', '55Mn', '107Ag', '140Ce', '139La']","['55Mn', '48Ti', '54Fe', '63Cu', '59Co']","['69Ga', '53Cr', '98Mo', '133Cs', '138Ba']","['54Fe', '140Ce', '48Ti', '63Cu', '208Pb']","['138Ba', '88Sr', '54Fe', '55Mn', '72Ge']","['78Se', '64Zn', '202Hg', '54Fe', '48Ti']","['63Cu', '54Fe', '140Ce', '48Ti', '89Y']","['54Fe', '55Mn', '48Ti', '138Ba', '64Zn']","['138Ba', '54Fe', '48Ti', '64Zn', '55Mn']"
