Index,timestamp /s,[24Mg]+ /g,[25Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[45Sc]+ /g,[46Ti]+ /g,[47Ti] /g,[48Ti]+ /g,[49Ti]+ /g,[51V] /g,[52Cr]+ /g,[53Cr]+ /g,[54Fe]+ /g,[55Mn]+ /g,[56Fe]+ /g,[57Fe]+ /g,[58Ni]+ /g,[59Co]+ /g,[60Ni]+ /g,[63Cu]+ /g,[64Zn]+ /g,[65Cu]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[71Ga]+ /g,[72Ge]+ /g,[75As]+ /g,[78Se]+ /g,[80Se]+ /g,[85Rb]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[93Nb]+ /g,[94Zr]+ /g,[96Mo]+ /g,[98Mo]+ /g,[102Ru]+ /g,[103Rh]+ /g,[106Pd]+ /g,[107Ag]+ /g,[108Pd]+ /g,[109Ag]+ /g,[112Cd]+ /g,[114Cd]+ /g,[118Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[123Sb]+ /g,[128Te]+ /g,[130Te]+ /g,[133Cs]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[142Ce]+ /g,[144Nd]+ /g,[151Eu]+ /g,[152Sm]+ /g,[153Eu]+ /g,[154Sm]+ /g,[156Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[162Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[174Yb]+ /g,[175Lu]+ /g,[180Hf]+ /g,[181Ta]+ /g,[185Re]+ /g,[190Os]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[197Au]+ /g,[200Hg]+ /g,[202Hg]+ /g,[206Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[238U]+ /g
125,0.244710931076664,,,,,,,,,,,,,,,,,4.9815104789113E-15,,,,,,,,,,,,,,,,,1.1162241427046E-16,,,,,,,,,,,,,,,,,,,,,,,,1.04078802648875E-15,2.05939699218964E-15,2.15287683642036E-16,1.09406494851327E-15,1.09622149331204E-15,5.93203209027594E-16,,1.24745725664523E-16,2.4138343162178E-17,8.45235010581178E-17,1.69826898676855E-16,7.18047117146794E-17,,,,,,,,,,,,,,,,,,,,,,4.4728356670922E-17,,
135,0.26467467292786,2.70174723308432E-15,1.83029221010439E-15,2.42752496806342E-15,,,,1.49436280488929E-15,1.83292874180603E-15,1.49769247050266E-15,1.77902237131181E-15,,,,2.62142683996394E-15,,5.21482997050861E-15,5.06029663382308E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93024413016357E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,0.270685128825655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5209348003173E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,0.276678518049501,,,,,,,,,,,,,,,,,4.29417364334562E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,0.282669773939104,,,,,,,,,1.91802161868739E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,0.286689402320812,,,,,,,,,4.93683172474857E-16,,,,,,1.96642032548664E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0.330662541082684,7.06724474148224E-16,,2.24750637247329E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0.338657424493834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66499993901609E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.34670009459204,,,2.16355412453829E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,0.350683882958457,,,1.99028587288669E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0.370656584813476,,,,,,,,,,,,,,,3.00567483297635E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0.418725298656127,,,,6.22275079221916E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.42469991453863,,,,5.5737065035333E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,0.44867816476935,,,,,,,,,,,,,,,2.56853701673616E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15709895705742E-17,3.45702002574099E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,0.452656833133582,3.42207481009776E-15,3.51382723242825E-15,3.16122983967178E-15,5.6518318342451E-13,,,,,,,,,,5.24581240635935E-15,,9.12517219794372E-15,9.00500229702846E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,0.474692895868969,,,,7.52624673746186E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,0.478666870897865,,,,,,,,,1.80725170739073E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,0.488704208513796,,,,,,,,,,,,,,,2.35643115385905E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,0.494844371133598,1.30777915435133E-15,,4.65609728858723E-15,5.42889488987567E-13,,,,,,,,,,2.5805478932143E-15,9.51030275422574E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,0.502672001140054,,,,,,,,,1.94793535759336E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.50668224285109,,,2.74912300026389E-15,5.35493580974471E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,0.514666459591023,,,,,,,,,,,,,,2.31490897309125E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,0.542685671545887,8.98368878432462E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,0.568691015974834,,,,,,,,,4.11984177565315E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,0.574700191872082,,,,,,,,,,,,,,2.66067012951321E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,0.60464793798312,,,3.39328879829661E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,0.638676325835232,,,3.39672561530121E-15,,,,,,,,,,,,1.25668705644628E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,0.65670982686286,6.18236191462647E-16,,4.06629315736443E-15,,,,,,4.00820864543514E-16,,,,,4.03893532734187E-15,,6.43759930316768E-15,5.24961934003934E-15,,,,,,,,,3.8420433277562E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,0.682652451265046,1.62848151907575E-15,,2.47983853980376E-14,4.43074721780434E-12,-1.92079156132409E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.12980977905908E-15,,,,,,,,,,,,,,,,,,,,,,,5.96169701301695E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,0.718733533326308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19294709504655E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,0.736688527653772,1.41834341854099E-15,,2.36223795755176E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,0.744646291049084,,,1.93831886652781E-15,,,,,,,,,,,,,5.13887589394154E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,0.754712215343879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.19902606781735E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,0.760777711265157,,,,5.84293527490145E-13,,,,,,,,,,4.78906988143457E-15,,8.09178416945348E-15,6.22130859626939E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.24283965542296E-17,5.26269774423979E-17,,
397,0.788597243134824,,,2.65206336660462E-15,,,,,,,,,,,2.30394722049664E-15,,,5.62181355226248E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,0.796605779885133,,,,,,,,,2.11478371584801E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,0.826699872725279,8.53523946840673E-16,,,,,,,,3.21783219820098E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,0.840742332050062,,,,,,,,,,,,,,2.67747380100453E-15,7.45822545168703E-17,,5.98695922772822E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,0.862734021433182,1.33114008423438E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,0.867574556831811,,,,,,,,,1.96345139778803E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,0.900821717683933,,,5.07158496687545E-15,6.31886147271153E-13,,,,,,,,,,,1.3999070141859E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,0.916646791102631,,,,,,,,,,,,,,,1.17913907143117E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,0.92267900700971,,,4.31539239864173E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.81084829886225E-17,2.48880842049615E-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,0.951062592453373,,,,,,,1.16506567196771E-15,,,1.50142740492235E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
